lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,precip_trend,ID slope,ID slope p,obs
JK26,INARI - NELLIM,68.85,1.837903945,28.3,168.0837772,2.225525799,118.7,2.074450719,1,0,14.3,1.155336037,0.131816409,0.124705882,0.144280953,0.1410431,58
GW240,ORSASJON,61.07247475,1.785845519,14.54801963,154.3317968,2.188455413,159.9,2.203848464,52.827,1.722855948,17.3,1.238046103,0.15378581,0.157647059,-0.060823022,0.536775964,58
JK11,YLA-KIVIJARVI - JURVALA (1488),61.01162175,1.785412569,27.74017627,167.5239535,2.224076914,75.2,1.876217841,76.4,1.883093359,5.3,0.72427587,0.137254902,0.2,0.128735737,0.190363066,61
JK10,HANKAVESI - RAUTALAMPI (1436),62.5962525,1.796548334,26.74518901,166.5289662,2.221489786,96.1,1.982723388,18.2,1.260071388,7.04,0.847572659,0.137254902,0.174901961,-0.06632601,0.499960714,63
JK03,LAKE NASIJARVI (3568),61.53,1.789086915,23.75,163.5337772,2.213607468,95.4,1.979548375,256,2.408239965,13,1.113943352,0.137254902,0.278431373,-0.067905201,0.489649336,63
JK22,PAAJARVI - KARSTULA (1415),62.8555,1.798343285,24.72974853,164.5135257,2.21620161,144.4,2.159567193,29.5,1.469822016,3.8,0.579783597,0.137254902,0.157647059,-0.026087772,0.79478255,63
JJM24,BIG GREEN LAKE,43.80378675,1.641511656,-89.02786819,50.75590901,1.70548661,242.93,2.38548115,29.65,1.472024698,31.7,1.501059262,0.15620099,-0.054117647,-0.171683716,0.079098173,66
JK05,LAKE PAIJANNE (1463),61.18,1.786609473,25.54,165.3237772,2.218335319,78.3,1.893761762,1080,3.033423755,15,1.176091259,0.192156863,0.025882353,-0.02927326,0.76979902,83
JK15,LANGELMAVESI - KAIVANTO (3506),61.42,1.788309812,24.15,163.9337772,2.214668446,84.2,1.925312091,133,2.123851641,6.8,0.832508913,0.192156863,0.141960784,0.027735228,0.782185947,85
JK32,LESTIJARVI,63.531908,1.802991898,24.72975385,164.5135311,2.216201624,140.7,2.148294097,64.5,1.809559715,5.5,0.740362689,0.083921569,0.181176471,-0.077503661,0.430401392,85
GW341,NACKTEN,62.82382675,1.798124387,14.63117254,154.4149497,2.188689344,323.95,2.510477984,84.2389,1.925512687,15.5,1.190331698,0.15378581,0.04,-0.083897421,0.393341119,90
JK45,VISUVESI,62.12,1.793231447,23.93,163.7137772,2.214085229,96.1,1.982723388,46.2,1.664641976,6.95,0.841984805,0.088627451,0.101176471,-0.062602371,0.525921487,90
JGL03,WEST OKOBOJI LAKE,43.39,1.63738965,-95.16,44.6237772,1.649566329,426,2.629409599,15.65,1.194514342,11.5824,1.063798559,0.089446849,0.04,-0.270471958,0.00557093,91
JGL02,EAST OKOBOJI LAKE,43.39,1.63738965,-95.1,44.6837772,1.650149878,426,2.629409599,7.46,0.872738827,3,0.477121255,0.089446849,0.04,-0.180027742,0.065052303,92
JK20,ALA-KINTAUS (1449),62.291679,1.794430037,25.36632347,165.1501007,2.217878843,154.4,2.188647296,7.2,0.857332496,5.2,0.716003344,0.195294118,0.036862745,0.02853909,0.775965122,93
JK17,ALA-RIEVELI (1468),61.3055515,1.787499804,26.18039437,165.9641716,2.220014342,77.8,1.890979597,13,1.113943352,11.3,1.053078443,0.195294118,0.002352941,0.041256201,0.678346186,93
MINN2,DETROIT,46.78333333,1.670091162,-95.93333333,43.85044387,1.641973994,406.6,2.609167374,13,1.113943352,4,0.602059991,0.089446849,0.149803922,-0.179160628,0.068372453,94
JK47,SIMPELEJARVI,61.55384675,1.789255199,29.43413783,169.217915,2.22844634,68.8,1.837588438,58.6,1.767897616,9.34,0.970346876,0.19372549,0.12627451,0.198267253,0.042150831,94
JK48,AHTARINJARVI,62.76,1.797682935,24.05,163.8337772,2.214403444,153.5,2.18610838,39.9,1.600972896,5.2,0.716003344,0.184313725,0.099607843,0.091665957,0.349920695,97
KMS11,MIRROR,44.29089457,1.646314452,-73.98190169,65.80187551,1.818238272,565,2.752048448,0.518,-0.28567024,4.3,0.633468456,0.146666667,0.210980392,-0.17482631,0.074883914,99
GW592,JUKKASJARVI,67.82508,1.831390315,20.70512184,160.488899,2.205444998,322.35,2.508327675,13.50505,1.130496196,9.6,0.982271233,0.166339754,0.330196078,-0.070639926,0.474225642,105
JK04,LAKE VESIJARVI (1462),61.18,1.786609473,25.54,165.3237772,2.218335319,81.4,1.910624405,107.6,2.031812271,6.6,0.819543936,0.19372549,0.162352941,0.046641774,0.637318533,105
KMS14,OTSEGO,42.75838284,1.631021271,-74.89406165,64.88971555,1.81217587,363,2.559906625,17.11,1.23325001,24.9,1.396199347,0.181176471,0.109019608,-0.152331371,0.118659334,105
NG1,LAKE BAIKAL,53.6631347,1.729676038,108.1884226,247.9721998,2.394402995,449,2.652246341,31967.85,4.504713429,738.7,2.868468099,0.159215686,0.176470588,-0.226206506,0.020910048,107
JK02,LAKE KALLAVESI (4079),62.83,1.79816706,27.77,167.5537772,2.224154223,81.8,1.912753304,316,2.499687083,9.7,0.986771734,0.110588235,0.054117647,0.057169871,0.563638386,107
DMR1,LAKE MENDOTA,43.12837789,1.634763124,-89.42022411,50.36355309,1.702116361,259.1,2.413467413,39.377,1.595242626,12.8,1.10720997,0.258039216,0.083921569,-0.275459319,0.004681832,113
DMR2,LAKE MONONA,43.06709696,1.634145598,-89.36644349,50.41733371,1.702579875,257.5,2.410777233,13.24,1.121887985,8.2,0.913813852,0.101176471,0.135686275,-0.219328981,0.024841861,113
